기준,이름,휴대폰번호,이메일,집주소,주민번호,생년월일,직업,카드번호,종교,정치정당,운전면허번호,IP주소,은행계좌번호,신용카드번호,병명(질환),sns계정
2001-07-14,하서윤,018-895-1772,ijieun@example.com,부산광역시 중구 서초중앙806가 (윤서구리),110705-1595193,1922-07-10,가전제품 설치 및 수리원,373142944109825,무교,정의당,EJS 769,140.177.32.2,IRZA32069403138096,3537384323149447,고혈압,jihu09
2003-07-03,이성훈,055-965-9524,seongsubag@example.net,대전광역시 남구 테헤란2가 (영호이읍),950020-2903023,1947-03-16,통역가,349034991667428,기독교,국민의힘,BKY-351,186.232.215.92,SBKJ49334115030921,6520664119463298,고혈압,gangsanghyeon
2009-05-11,오은영,063-457-8922,jbaeg@example.com,대구광역시 성동구 반포대3길 (지훈김김동),120806-1350661,2019-06-28,조림/영림 및 벌목원,2245375883442664,무교,민주당,01-T606,60.124.49.115,ACOX35255552311590,676230624501,암,ahan
2003-08-03,이숙자,043-904-7909,seongsui@example.com,인천광역시 양천구 삼성로 (재현최읍),970423-2877029,2020-07-08,어부 및 해녀,3528891961949681,천주교,민주당,88-VI29,3.214.203.118,UANX80065573479621,4135809342199,없음,jgim
2001-10-01,박보람,061-503-4438,ojeongho@example.org,충청남도 삼척시 서초중앙가 (서연이장면),090626-1212117,1938-06-01,작가 및 관련 전문가,502087647678,기타,국민의힘,946 2420,37.245.229.56,UEWO39539751159317,3594251183754998,없음,honghyeonu
2013-08-25,류예원,054-532-3935,yangeunyeong@example.net,충청남도 수원시 장안구 학동92길,980507-2562347,1994-10-26,시민 단체 활동가,30257741830319,기독교,기타,48-6010G,41.126.255.113,BXJL06263309988033,3537208127584659,없음,minsuu
2008-09-25,심진호,032-357-6395,sujini@example.net,인천광역시 구로구 석촌호수길,300300-1012166,1936-12-22,문리 및 어학 강사,4588737375334967,불교,민주당,80NF1,124.18.140.186,SLUW62628599123234,6543375349118965,천식,seonghyeongim
2002-04-16,이현지,011-437-8837,jongsu24@example.com,인천광역시 광진구 석촌호수길,510021-2854682,1940-03-04,식품 및 담배 등급원,2468858857445995,불교,기타,0XP4207,33.123.50.132,LIUO50327374597994,6591112165257754,없음,jeonghosong
2000-03-19,양지원,061-133-2357,ygim@example.com,대구광역시 중랑구 논현거리 (재호윤심읍),170615-2866270,1951-12-06,기타 음식서비스 종사원,4037580360213896,기타,국민의힘,7-6794Q,208.0.227.32,EEPW97877498237509,4832863676882027,당뇨병,junseo22
2019-03-25,강준영,031-078-8271,gangyeongmi@example.org,인천광역시 동구 테헤란거리 (지은임마을),860912-2756667,1927-06-08,화가 및 조각가,4891550475489591939,천주교,정의당,974 HCM,22.189.222.41,JHPK62177109734079,4009024145539543,없음,yna
2018-10-08,한경수,043-909-4365,oi@example.net,제주특별자치도 태안군 강남대94거리 (아름이구면),800810-1933665,1996-12-07,기타 판매 및 고객 서비스 관리자,375876152702262,불교,민주당,961-TXD,182.6.119.18,DZAR33629692478768,3538540435655329,없음,cgim
2009-03-27,김미숙,063-879-2074,minseoi@example.org,전라남도 옥천군 서초대02로 (영식김박마을),920025-1246100,1986-06-08,기타 전기/전자기기 설치 및 수리원,30423443631344,무교,민주당,8QI84,154.232.59.219,LUHK67634217337087,6591327991509604,천식,seoyeongi
2008-11-28,김명자,031-613-5285,gimsangho@example.com,대구광역시 구로구 오금가,200806-1087048,1991-05-21,경비원,4005415886734083,기독교,기타,61R 492,4.150.100.101,CXIK22322413227419,502054162024,천식,yangjiyeon
2020-01-18,최춘자,041-606-9568,json@example.org,경상북도 옥천군 서초중앙79가 (서윤윤박리),150624-2095253,1996-03-13,세탁관련 기계조작원,3565763919209415,무교,정의당,6YP2165,142.139.192.33,ZUPB29158654164113,3589380304496192,고혈압,ggim
2002-07-15,김현우,053-870-3353,si@example.com,충청남도 홍천군 테헤란1가 (진우양이읍),040811-2536755,1950-10-13,기타 건설/전기 및 생산 관련 관리자,4109119530464361,기타,기타,BVJ 0714,155.55.130.88,RFOK48442298982759,3552654316636976,없음,rhan
2006-07-21,권영자,061-544-9502,doyun90@example.org,경상남도 부여군 도산대4거리 (지훈김김리),050904-1175628,1942-06-11,여행 사무원,3530938198119491,불교,국민의힘,2DE F84,103.180.215.116,HKTU38141479292708,378160982040442,없음,yhan
2016-12-18,김경수,070-1849-8804,yejin58@example.com,전라북도 연천군 잠실787거리,280927-2402743,2003-12-05,항공기 조종사,4983250329530665598,기타,국민의힘,840 XOT,132.100.90.161,ZHZG32762555317617,4420788676209574,천식,bagyeongsun
2002-11-08,이동현,063-373-8230,egim@example.net,세종특별자치시 성동구 서초중앙가,090111-2542604,1979-03-31,매장계산원 및 요금정산원,376631317045779,기독교,민주당,E63 8BH,167.120.241.178,TCHO33901818021817,3558410314797623,고혈압,rryu
2018-11-12,강서영,061-976-0881,yeongsungim@example.org,서울특별시 서초구 테헤란5거리,690228-2610778,1920-08-14,여행 및 관광통역 안내원,4276349377493119,천주교,기타,0J375,189.233.64.166,MOIT86528359487818,4440809931723179,암,coeyeongsu
2020-07-10,서현준,070-1345-5443,mi@example.org,경상남도 양주시 서초중앙8길 (경수민류면),730714-2013951,2022-11-22,인사 및 교육/훈련 사무원,2229689303578265,불교,기타,LSA-287,137.121.207.109,PPDA38847017465076,2402978752998762,고혈압,iseongsu
2004-04-11,김지혜,044-886-5803,sangceol29@example.net,부산광역시 서초구 압구정91거리,530713-2728474,1928-05-10,종이제품 생산기 조작원,4291135662584,기독교,정의당,DVE-4286,36.61.108.38,RSZI84001652627192,30456513410629,천식,geonu35
2011-03-30,김도현,063-990-6766,xgim@example.com,전라북도 청주시 서원구 서초대거리,500406-2829685,1959-12-02,소년보호관 및 교도관,4078019036377546,기타,정의당,85YY5,194.49.49.2,OFNM35625472206919,4678641675486279394,없음,pbag
2010-01-30,김중수,043-707-9713,icoe@example.net,울산광역시 강서구 양재천736로 (지연박최리),040111-1958443,1981-07-10,섀시 조립 및 설치원,3516939409542677,불교,민주당,175-OXE,89.101.217.93,BQMI69614578050673,3546074251851234,없음,eunseogim
2004-05-23,최준서,019-780-1915,junyeong01@example.com,울산광역시 남구 석촌호수62거리 (영수김박동),870111-2180036,1983-02-23,택배원,3578278850662121,불교,국민의힘,836 DCQ,41.31.137.61,WDYA52165576051476,30486822600073,당뇨병,hyeonju60
2016-11-29,진영미,032-342-0966,seungmin83@example.org,광주광역시 강북구 서초중앙가,520921-2545419,1913-06-12,통신 및 방송송출 장비 기사,4647486590308187373,기타,민주당,252 NCL,220.109.90.109,WORC60639096316067,4553113052469453,당뇨병,jaehyeon52
2001-10-17,장보람,062-175-2498,seungmingim@example.net,대전광역시 영등포구 테헤란가,120819-2036264,1987-07-11,초등학교 교사,5172642901551077,무교,정의당,958F4,43.171.27.40,RVCK64194779444990,4533007015086952717,당뇨병,jieungim
2024-07-05,노은경,061-794-1485,jihyeon18@example.net,전라북도 안산시 단원구 서초중앙34가,330704-1328984,1943-07-19,선장/항해사 및 도선사,213130387113341,불교,기타,XCW6491,147.40.1.25,FEWW87478871418430,3529934949208199,천식,minjun27
2006-10-10,박유진,016-819-6328,jiyeong43@example.com,제주특별자치도 수원시 장안구 봉은사77길,950225-2892601,1960-03-06,간판 제작 및 설치원,3515658211795361,무교,기타,PUL-9392,166.149.34.141,KUES65366724276746,30402214359806,당뇨병,munjihyeon
2004-09-09,김현우,016-657-9133,dbag@example.org,경기도 옥천군 봉은사거리 (미정김마을),190219-2694273,2006-12-23,용접원,4119816891487953820,불교,민주당,SUA 888,108.253.79.49,XWWN71976016848892,2268197374851431,없음,yeongja58
2018-05-25,최영진,031-267-4521,nsin@example.org,대구광역시 종로구 개포2가,160327-1747758,2013-09-28,자동차 정비원,2225913058747840,불교,민주당,MDY-0725,188.20.254.100,YNMQ22319979959686,4264727343529146,없음,hyeonjeonghan
2020-11-23,강수진,070-9823-4295,igim@example.org,인천광역시 금천구 역삼3길,010014-2639434,1994-12-13,수금원,2250203599432062,기독교,기타,958 DF5,146.72.21.197,DJPU33792923332688,6543999884522990,암,ijihu
2013-11-23,김영숙,010-4006-7862,gimyeongja@example.org,세종특별자치시 동작구 도산대841가 (성민권오읍),860017-2560486,1925-12-22,통계관련 사무원,580506047613,기독교,기타,WVK-5158,96.189.33.167,CRJZ53110340473220,6011476303269704,당뇨병,anyeweon
2013-06-09,김상호,043-790-5402,ogsun94@example.net,울산광역시 서초구 언주2길,830326-1674989,1993-09-29,정보 시스템 운영자,213100247773030,불교,기타,792BE,202.34.247.2,CDVH24490616378498,4830484214752705,고혈압,isugja
2005-11-05,이성호,032-259-8962,gyeonghyibag@example.com,세종특별자치시 서대문구 강남대33로 (정훈김리),270102-2901110,1926-09-20,경기감독 및 코치,4530056747340,천주교,국민의힘,304O,92.98.45.27,GOMC47458810177771,6011948896679549,당뇨병,jeongsugnam
2005-04-27,김지현,033-580-5703,vi@example.com,경상남도 포천시 서초대516가 (정웅이류마을),500703-1160814,1910-12-18,인터넷 판매원,213151278763861,기타,정의당,871-MII,50.109.191.110,WLUN85986785466814,213190449083056,없음,baghyeonjun
2007-05-23,강경수,053-190-8061,gyeongjau@example.com,대전광역시 도봉구 언주560로 (진호서류마을),920414-2553547,1916-05-24,펄프 및 종이 제조장치 조작원,6011918834653161,기독교,기타,437 CNX,142.180.185.17,ULPN91268807230602,4560538507146135,천식,minjijo
2009-04-25,송민수,053-020-8080,shan@example.org,대전광역시 강서구 압구정17길 (순자이김면),790617-2255527,1988-05-27,일반 의사,4795397562569526,불교,기타,9SR1867,108.67.153.239,RSPU94437819958162,4714644337990208,암,gimseungmin
2008-07-26,박재호,042-360-6520,jeonghun82@example.net,전라북도 평택시 언주길,990328-2023026,1953-04-29,재봉사,4655677978403686831,천주교,기타,J86 5OV,46.234.1.161,UXTB65607428318584,3540173006392274,없음,minseo55
2019-03-06,하지훈,055-109-6432,wgim@example.com,부산광역시 동작구 영동대7거리,190315-1610009,1976-06-24,감사 사무원,4706035454675,기타,민주당,G70-86W,129.254.178.246,MRKX67258352089193,060489480552,암,jinho16
2012-12-22,이민서,017-671-6011,jeongdohyeon@example.net,대구광역시 북구 봉은사01거리 (지훈서류리),330324-2034388,1989-11-13,섬유공학 기술자 및 연구원,4039152569893304,천주교,정의당,794ZHO,166.215.247.113,QZJT10993076545547,3508721216540171,당뇨병,lson
2013-01-15,나미정,018-085-8489,miyeongi@example.org,충청북도 안산시 단원구 언주길 (현지홍읍),020310-2888507,1942-12-31,어부 및 해녀,4822147600969338072,기타,국민의힘,626 0464,56.85.131.56,DVXL07698939465003,4885317969542842723,당뇨병,aan
2008-09-03,김지영,016-089-4220,minseog26@example.net,광주광역시 노원구 백제고분825길,590619-2362622,1985-08-12,기타 자동차 운전원,4924761217225913,기타,국민의힘,13-Q321,128.200.12.82,IMNY96417500494375,3509703904148185,천식,jiyeonggo
2022-12-26,최예은,061-985-5635,myeongja05@example.com,경기도 연천군 도산대길 (성민김마을),590304-1962960,2013-09-23,낙농업관련 종사원,6571380416196766,기독교,기타,02JP1,18.204.212.170,JCDN44439712850976,6011215885976975,고혈압,yeongceol03
2000-11-09,이현주,051-228-1319,hongujin@example.com,제주특별자치도 고양시 덕양구 잠실로 (동현박마을),510507-1082672,2006-06-26,실내장식 디자이너,3527124831186164,무교,민주당,G11 1QR,223.157.247.42,ZEHY91903469973175,342336890955201,암,yunyeongsig
2005-05-11,김준서,053-741-5531,eunji45@example.com,대전광역시 동대문구 석촌호수가 (은서김면),190404-2592820,2023-08-15,기타 건축마감관련 기능 종사원,376985696319845,기독교,민주당,U66 0CR,59.5.174.211,XPBJ53534661491924,4008333504322695717,없음,wi
2008-07-17,김현정,063-124-4194,jgim@example.com,경기도 시흥시 선릉17길,220526-2302266,1935-08-30,시민 단체 활동가,6599180269387019,천주교,기타,XR7 5037,129.163.111.14,YGRB31614084497720,4338412803587,천식,jongsu43
2002-06-22,김민서,016-185-7874,ghwang@example.net,전라북도 서산시 석촌호수로,190525-1367235,1946-08-13,기타 사회복지관련 종사원,36609724788472,기독교,정의당,MQU-0047,118.76.153.211,DVYC51686088494907,213135396808401,없음,haeun66
2004-08-11,김우진,033-800-9104,ijunhyeog@example.com,인천광역시 관악구 백제고분333가 (하은최마을),040709-1168407,1929-06-29,섬유제조 기계조작원,2258592190770439,불교,기타,9DV O36,46.9.69.31,UCXS35950546544717,4611680644092506,없음,eunyeong70
2012-08-29,박준혁,054-817-4018,yeeun85@example.com,광주광역시 종로구 석촌호수22가 (중수김동),820621-1452152,1967-11-17,연구 관리자,6557790714188281,기독교,정의당,CRY6946,177.223.139.132,DTTM71276632079621,3514345530533258,없음,obag
2001-03-24,김지혜,044-346-7795,ubae@example.org,대구광역시 성동구 백제고분로 (정수김김면),740424-2378554,1926-10-12,주조원,4148230659987943,무교,민주당,15-M653,41.82.169.128,ZGIY37012127333589,4107019398154,없음,jihyeongim
2018-01-29,최지후,051-736-8904,osumin@example.net,인천광역시 북구 서초중앙0로,590822-1625148,1924-05-25,기타 경호 및 보안 관련 종사원,3599865359563472,천주교,기타,0Z 5H1NYY,20.244.100.241,GWGJ61469342390332,2226254518802381,고혈압,seongsugim
2010-10-31,이순자,052-675-9203,kgim@example.com,경상남도 옥천군 논현가,980616-1916150,1923-05-29,회계 사무원,180046342176471,기타,국민의힘,HPR 3005,82.41.146.61,ZJJU57945691256816,4456970279907,없음,yejunbag
2016-03-04,류주원,064-756-7523,dgang@example.net,광주광역시 노원구 선릉가 (정호최마을),670217-1169191,1947-08-15,안마사,675959704270,기타,민주당,177 BQJ,59.231.193.16,FLOP57204707855465,630449556152,고혈압,jeom
2010-01-15,이민석,070-3038-7233,sujinhwang@example.org,서울특별시 구로구 영동대거리 (미영강송읍),900300-1463924,2007-04-29,재단사,30215099888859,불교,기타,31T XE6,96.47.66.39,DVBV85604485270690,3588699234802802,당뇨병,ui
2021-03-17,박동현,033-897-0722,hanjeongho@example.org,대전광역시 구로구 선릉4길,060020-1789923,1957-11-25,패스트푸드원,6537100240801735,불교,정의당,605 KYD,9.231.247.125,MDJC57725390415553,348364981115414,고혈압,gimjia
2017-04-27,이도현,018-726-7082,gimseongho@example.org,광주광역시 강서구 서초중앙길 (민석김동),480023-2000912,1967-10-26,자동차 정비원,3563050893124857,불교,정의당,480 9BT,70.199.114.187,WKCP07779683637700,6011978664200020,고혈압,seonyeong14
2001-03-31,박하은,052-775-4806,gyeongsugjang@example.org,경상북도 수원시 영통구 개포거리,710427-2893589,1995-03-08,물품 이동 장비 설치 및 정비원,180087261558372,기타,민주당,A40-IRN,108.2.215.153,LXYF86791633909559,676268993695,당뇨병,jiyeonju
2001-08-14,김지민,033-028-0386,juweon01@example.net,경상북도 철원군 테헤란054길,020011-1936464,1928-12-02,조명기사 및 영사기사,4712000983159923,무교,민주당,0N 37822,147.42.150.176,QIUP37098401137842,3560739152683156,고혈압,seoyeon57
2018-02-07,최영철,018-275-8846,byeongceolgim@example.net,세종특별자치시 영등포구 석촌호수길,880013-1477867,2011-09-30,도시 및 교통설계 전문가,213162858184394,무교,기타,838 JPN,189.150.93.59,EGKB97587110875922,213159649838510,천식,gimmyeongsug
2005-01-28,양서영,018-214-1144,sunoggweon@example.com,제주특별자치도 속초시 강남대길,190521-1819685,2001-03-31,보일러 설치 및 정비원,213198608748039,무교,기타,HIN 228,4.124.190.94,EZGX04687540736706,2333746231448673,고혈압,googja
2023-11-14,양예원,010-8566-3578,idonghyeon@example.net,인천광역시 마포구 강남대가,210412-1386722,2012-09-20,아나운서 및 리포터,4817047288708981,무교,기타,950-399,139.62.196.62,HCRA45624757703905,4435559555861,암,yeongsuggim
2018-09-04,김현우,054-600-8782,coeseongmin@example.net,대구광역시 영등포구 서초중앙739거리 (영진오김면),880427-2910119,1964-12-07,방문 판매원,4352637133119132935,천주교,민주당,36M 1023,5.74.35.182,SACF57839398407955,6011491384613761,없음,wbag
2022-01-20,송영자,043-037-2836,yjang@example.net,서울특별시 서초구 삼성거리,220521-2983715,1940-10-15,건설 및 광업기계 설치 및 정비원,3590205891745858,천주교,국민의힘,UU 84953,221.242.54.186,GDRX11838291879855,639015789782,없음,gimyeongceol
2007-10-16,김지혜,054-824-4999,eunyeonghwang@example.com,세종특별자치시 강남구 선릉28거리 (순자김민동),530403-2905845,1932-03-30,학습지 및 방문 교사,4693684226759024179,기타,기타,2EL X26,101.91.189.61,BKSY43847846820672,5591401375881640,당뇨병,jeongho97
2005-04-11,황도현,033-815-6024,ni@example.com,강원도 증평군 압구정050길,530507-2533441,1987-02-07,모피 및 가죽의복 제조원,639082601878,기타,정의당,7FJ T20,208.31.19.134,RPOT93042815102435,4024582658405635,암,miyeong18
2020-11-23,김지현,033-364-4222,gweonogja@example.net,전라남도 부천시 삼성로 (상현황김면),410025-1309200,1916-10-06,시각 디자이너,4794973777841933,불교,기타,518EJK,135.249.45.132,SIHQ36892623613330,4898573524351064,없음,sangceolgim
2005-01-13,김지후,032-773-8124,gimhyeonjeong@example.net,대구광역시 서대문구 잠실03가,840620-1825111,1961-04-13,웹 및 멀티미디어 기획자,3596098603137389,무교,기타,169Y,71.58.218.254,ZAYX30201862148321,060470175021,고혈압,yeji61
2009-09-10,김성현,051-214-3342,baejiyeon@example.net,충청남도 당진시 서초대444거리 (정훈이손리),040326-2532397,1913-05-17,목재 가공관련 기계 조작원,4781060363799355,천주교,기타,211 RGO,175.25.132.239,VPYD80977203044930,4294580501713356,암,sgweon
2009-12-25,이성민,032-257-6384,xgim@example.com,충청남도 군포시 언주12길,540521-2896916,1950-09-20,무용가 및 안무가,4323981590736768,기타,민주당,6F 37101,137.107.107.198,YSIS76352441038536,4040494623053,당뇨병,jihu94
2004-08-19,최서연,063-502-2165,gyeongsu57@example.com,경상남도 청주시 흥덕구 학동071길,380615-2994952,2010-02-25,자동차 영업원,4995487274594710,기타,정의당,BBR-0066,203.191.51.127,OYBQ30807496039052,36992097222307,없음,sanghyeoni
2003-12-23,김영일,051-854-9428,doyunca@example.net,제주특별자치도 김포시 봉은사573가 (명자이동),360920-2065532,1916-01-01,택시 운전원,4802618360882535,천주교,민주당,C68 0ZT,139.170.218.213,HKMM74916124899747,30108368018094,고혈압,baeujin
2018-02-27,손명숙,054-782-8321,rgim@example.com,인천광역시 남구 영동대3길 (지은김면),650825-2262060,1980-02-29,보건의료관련 관리자,6011773608668063,기독교,정의당,V44 8YJ,66.254.47.202,RYJM40207930344672,3521404724528060,천식,vcoe
2003-05-11,서준영,041-706-9802,mgim@example.org,전라남도 청주시 상당구 백제고분4거리,510209-1781870,1990-01-30,기타 식품가공관련 종사원,4392853854213162,불교,기타,474 7XP,11.6.45.38,RCCZ39286253580671,6011717348465785,고혈압,jusangceol
2007-02-18,강지우,070-0865-9286,tcoe@example.org,인천광역시 성동구 서초대488거리 (지현최강동),490420-1980014,1970-09-30,양식원,2442312355324642,기독교,정의당,55CI5,21.94.97.70,ZFJC95388487207922,3524105438926352,없음,yejigim
2024-05-01,김주원,018-199-5134,jeonghunbag@example.com,서울특별시 마포구 개포로,930903-1284138,1945-04-06,한의사,6011058168304006,무교,민주당,135 DPC,55.161.168.241,FJSI93192311542933,213133669663686,암,minseog47
2005-12-28,송미영,031-945-0415,joeunjeong@example.org,광주광역시 광진구 반포대314가 (정숙홍김리),590022-2704432,2017-10-26,통신/방송 및 인터넷 케이블 설치 및 수리원,36550339051221,기타,정의당,591 WJ1,157.242.100.255,DKBB04118108507525,4572168277028307953,당뇨병,seungmin74
2012-01-27,이예은,044-767-7552,phwang@example.org,대구광역시 강북구 선릉9길 (정희김면),670418-1891820,2006-09-06,대학 시간강사,3587661273691273,불교,기타,939 2VH,13.70.14.7,DEJN00312482627335,4301037734415615,당뇨병,josiu
2009-07-17,백동현,032-357-0436,jeonghogim@example.net,경기도 당진시 논현8거리 (광수손면),080009-1512146,1965-01-27,금속 / 재료공학 시험원,6574531079445513,천주교,기타,8WF31,194.149.119.20,AYQL56192901410791,4740966260183842,천식,fi
2015-11-21,전지아,033-168-4871,eunyeongbag@example.org,강원도 파주시 백제고분9길,920116-1019215,1930-04-16,전문 의사,4974449764105386,기타,기타,715 TP7,15.215.240.36,OEGA11399881268890,501818702786,당뇨병,tjeon
2007-06-26,이지원,043-110-5707,seongmin52@example.net,충청남도 영동군 백제고분420길,800201-2196522,2010-01-06,영양사,4422254026257,무교,기타,KXN 163,13.169.103.137,PJLW95428270671268,180025102321303,천식,lgweon
2010-09-23,김민서,017-810-0286,hyeonjeongsong@example.com,경상남도 천안시 서북구 학동가 (명자김면),590710-2680660,2003-07-29,육류/어패류 및 낙농품 가공 기계조작원,3555823116425792,불교,정의당,076D,20.132.72.146,SBMQ64842583056262,3505960156450651,당뇨병,hyeonji81
2024-05-12,이수진,063-115-8555,jieun61@example.com,광주광역시 중구 양재천가 (건우김동),940005-1468907,1938-03-16,소년보호관 및 교도관,38489775523435,기독교,기타,DHI 7494,208.16.236.3,MMFM08693155926058,4976544182417049273,암,eunjijo
2015-05-08,최승현,044-041-3156,jsong@example.com,대전광역시 영등포구 도산대01거리 (재호서문리),080422-1667381,1933-08-13,상/하수도 처리장치 조작원,5320383469140729,무교,국민의힘,ULA 779,107.130.249.109,ZKTT84969476771373,4710304139982960,암,hyeonji39
2000-10-04,박예진,052-152-7507,seungmini@example.net,울산광역시 서구 잠실6가,060314-1140901,1953-06-18,제분 및 도정 관련 기계 조작원,2247434897473393,무교,기타,796 4WX,159.52.188.54,TPPD45221088637200,3528592564658188,없음,jiyeong71
2004-06-06,안서연,044-238-6194,jo@example.org,서울특별시 영등포구 도산대가,440221-1281865,1936-11-30,사서 및 기록물관리사,4891213342320929,기독교,정의당,0E D1389,105.20.30.129,MRKD10089300258887,4343008761289944885,당뇨병,gyeonghyiheo
2015-08-17,조시우,031-743-4584,gimseoyeon@example.com,부산광역시 송파구 삼성800로 (성현안리),540021-1273574,1985-02-07,의복/가죽 및 모피 수선원,341570958692402,불교,민주당,WZP-2183,95.119.254.171,GFYX18382489237346,3512112998001901,천식,gyeongja87
2004-09-03,임지영,051-590-0832,hongseungmin@example.org,울산광역시 서초구 도산대가,210216-1743696,1947-09-03,이용사,4250903192276779295,천주교,기타,NP5 G6T,70.248.128.5,WRNR39454572385974,4055389818030,천식,gi
2004-05-22,류현정,070-3469-4694,jeongsui@example.com,충청남도 용인시 수지구 서초중앙716길 (영철이장면),300811-1522461,2022-11-28,조경원,4259445190422,천주교,정의당,0DX10,170.189.93.229,DJTE65111172601385,6588006213188679,암,bagyeongmi
2000-10-17,박영수,055-135-1851,seongjin83@example.net,경상남도 평택시 잠실가 (순옥주리),860317-2451433,1976-09-20,배관 세정원 및 방역원,4016021054335,기독교,기타,EDH2143,221.219.214.224,YJNV65968347323800,4353065226256863,암,gyeongsu38
2009-10-23,박현정,054-571-7182,di@example.net,부산광역시 남구 개포가 (영숙송이면),240507-2633388,1921-03-27,양장 및 양복 제조원,4899747241519612,불교,국민의힘,691-NWW,138.171.68.76,DFXO81735105232333,347581898958153,고혈압,subini
2004-09-16,이상훈,063-348-0152,jeongsugwag@example.com,대구광역시 마포구 오금815거리 (정숙이서면),800509-1291961,1966-06-09,김치 및 밑반찬 제조 종사원,4090265575842911,천주교,민주당,637 FAO,100.17.60.64,HFKB01513574307333,4665141280705948,고혈압,jieun55
2021-06-13,김성훈,019-080-2741,junhyeoggim@example.org,제주특별자치도 철원군 역삼길,390303-1160951,1945-05-15,상품중개인 및 경매사,4656206975975865,불교,민주당,98-KA71,9.127.144.172,QDKC32296946074795,180030463557586,없음,tbag
2016-04-04,이현우,064-726-5877,djeon@example.com,서울특별시 중랑구 오금길,650403-1899644,1937-08-21,오락시설 서비스원,4316041352005115,천주교,민주당,ZUR 066,160.179.228.36,KVGU04409075509608,4929794948707268,없음,seoyun04
2008-06-05,황영길,019-652-5732,muneunjeong@example.com,울산광역시 양천구 석촌호수164거리,130229-1889084,1911-09-18,안경사,4262917929194645,천주교,기타,23-25277,210.142.189.9,AOSW44240150309842,3502649001384859,고혈압,man
